model;train_accuracy;train_precision_macro;train_recall_macro;train_f1_macro;train_f1_weighted;validation_accuracy;validation_precision_macro;validation_recall_macro;validation_f1_macro;validation_f1_weighted
gradient_boosting;0.9977678571428571;0.9963226618397223;0.9977079869666852;0.9970095300461542;0.9977718867060114;0.9814814814814815;0.9739674622517943;0.9803700108257569;0.9767081272697233;0.9815859968765063
random_forest;0.9942956349206349;0.9915912134067705;0.9952233829356852;0.9933794463929091;0.9943049950562126;0.9745370370370371;0.9652599951976807;0.9768985657753424;0.9706294584813934;0.9747041798722585
decision_tree;0.9756944444444444;0.9692619738770815;0.9734052619697632;0.9712493872453045;0.9757818403021236;0.9594907407407407;0.949653332376172;0.9591152443213153;0.9541394410107269;0.9596004722112517
logistic_regression;0.9737103174603174;0.961261437507478;0.9715525544586452;0.9659116676343926;0.973971950817543;0.9537037037037037;0.9349112055514495;0.9533327098041366;0.942441032495402;0.9545968404790012
